author,changes,common_name,familyetc,species,species_number,subspecies
(GRAY 1845),,"E: Ocellated Cool-skink, Ocellated Skink
G: Gefleckter Skink","Scincidae, Eugongylinae, Scincoidea, Sauria, Squamata (lizards)",Carinascincus ocellatus,16697,
"(HUTCHINSON, SCHWANER & MEDLOCK 1988)",,"E: Heath Cool-skink, Mountain Skink","Scincidae, Eugongylinae, Scincoidea, Sauria, Squamata (lizards)",Carinascincus orocryptus,16698,
(RAWLINSON 1974),,"E: Pedra Branca Cool-skink, Red-Throated Skink","Scincidae, Eugongylinae, Scincoidea, Sauria, Squamata (lizards)",Carinascincus palfreymani,16699,
(O'SHAUGHNESSY 1874),,"E: Agile Cool-skink, Tasmanian Tree Skink","Scincidae, Eugongylinae, Scincoidea, Sauria, Squamata (lizards)",Carinascincus pretiosus,16700,
ZUG 2004,,,"Scincidae, Eugongylinae, Scincoidea, Sauria, Squamata (lizards)",Carlia aenigma,11993,
ZUG 2004,,E: Curious Skink,"Scincidae, Eugongylinae, Scincoidea, Sauria, Squamata (lizards)",Carlia ailanpalai,11994,
STORR 1974,,E: Bauxite Rainbow-skink,"Scincidae, Eugongylinae, Scincoidea, Sauria, Squamata (lizards)",Carlia amax,11995,
ZUG 2004,,,"Scincidae, Eugongylinae, Scincoidea, Sauria, Squamata (lizards)",Carlia aramia,11996,
(KOPSTEIN 1926),,,"Scincidae, Eugongylinae, Scincoidea, Sauria, Squamata (lizards)",Carlia babarensis,11997,
(PETERS & DORIA 1878),,,"Scincidae, Eugongylinae, Scincoidea, Sauria, Squamata (lizards)",Carlia beccarii,11998,
(MACLEAY 1877),,E: Rainbow-skink,"Scincidae, Eugongylinae, Scincoidea, Sauria, Squamata (lizards)",Carlia bicarinata,11999,
ZUG & ALLISON 2006,,,"Scincidae, Eugongylinae, Scincoidea, Sauria, Squamata (lizards)",Carlia bomberai,12000,
ZUG & ALLISON 2006,,,"Scincidae, Eugongylinae, Scincoidea, Sauria, Squamata (lizards)",Carlia caesius,12001,
"SINGHAL, HOSKIN, COUPER, POTTER & MORITZ 2018",,,"Scincidae, Eugongylinae, Scincoidea, Sauria, Squamata (lizards)",Carlia crypta,21319,
HOSKIN & COUPER 2012,,E: Elegant Rainbow Skink,"Scincidae, Eugongylinae, Scincoidea, Sauria, Squamata (lizards)",Carlia decora,12002,
(KOPSTEIN 1926),,,"Scincidae, Eugongylinae, Scincoidea, Sauria, Squamata (lizards)",Carlia diguliensis,12003,
COVACEVICH & INGRAM 1975,,E: Sandy Rainbow-skink,"Scincidae, Eugongylinae, Scincoidea, Sauria, Squamata (lizards)",Carlia dogare,12004,
ZUG 2004,,,"Scincidae, Eugongylinae, Scincoidea, Sauria, Squamata (lizards)",Carlia eothen,12005,
(DUMÉRIL & BIBRON 1839),,E: Indonesian Brown Skink Carlia,"Scincidae, Eugongylinae, Scincoidea, Sauria, Squamata (lizards)",Carlia fusca,12006,
STORR 1974,,E: Slender Rainbow-skink,"Scincidae, Eugongylinae, Scincoidea, Sauria, Squamata (lizards)",Carlia gracilis,12007,
INGRAM & COVACEVICH 1989,,E: Whitsunday Rainbow Skink,"Scincidae, Eugongylinae, Scincoidea, Sauria, Squamata (lizards)",Carlia inconnexa,12008,
"AFONSO-SILVA, SANTOS, OGILVIE & MORITZ 2017",,E: Kimberley islands rainbow-skink,"Scincidae, Eugongylinae, Scincoidea, Sauria, Squamata (lizards)",Carlia insularis,21167,
"AFONSO-SILVA, SANTOS, OGILVIE & MORITZ 2017",,E: Monsoonal three-keeled rainbow-skink,"Scincidae, Eugongylinae, Scincoidea, Sauria, Squamata (lizards)",Carlia isostriacantha,21170,
COVACEVICH & INGRAM 1975,,E: Lined Rainbow-skink,"Scincidae, Eugongylinae, Scincoidea, Sauria, Squamata (lizards)",Carlia jarnoldae,12009,
STORR 1974,,E: Rough Brown Rainbow-skink,"Scincidae, Eugongylinae, Scincoidea, Sauria, Squamata (lizards)",Carlia johnstonei,12010,
(BLEEKER 1860),,,"Scincidae, Eugongylinae, Scincoidea, Sauria, Squamata (lizards)",Carlia leucotaenia,12011,
(MACLEAY 1877),,E: Closed-litter Rainbow-skink,"Scincidae, Eugongylinae, Scincoidea, Sauria, Squamata (lizards)",Carlia longipes,12012,
(PETERS & DORIA 1878),,,"Scincidae, Eugongylinae, Scincoidea, Sauria, Squamata (lizards)",Carlia luctuosa,12013,
(DE VIS 1885),,E: Shaded-litter Rainbow-skink,"Scincidae, Eugongylinae, Scincoidea, Sauria, Squamata (lizards)",Carlia munda,12014,
ZUG 2004,,,"Scincidae, Eugongylinae, Scincoidea, Sauria, Squamata (lizards)",Carlia mysi,12015,
ZUG 2010,,,"Scincidae, Eugongylinae, Scincoidea, Sauria, Squamata (lizards)",Carlia nigrauris,12016,
(DE VIS 1885),,E: Open-litter Rainbow-skink,"Scincidae, Eugongylinae, Scincoidea, Sauria, Squamata (lizards)",Carlia pectoralis,12017,
(DUMÉRIL & BIBRON 1839),,,"Scincidae, Eugongylinae, Scincoidea, Sauria, Squamata (lizards)",Carlia peronii,12018,
(BARBOUR 1911),,,"Scincidae, Eugongylinae, Scincoidea, Sauria, Squamata (lizards)",Carlia pulla,12019,
(MACLEAY 1877),,E: Five-carinated Rainbow Skink,"Scincidae, Eugongylinae, Scincoidea, Sauria, Squamata (lizards)",Carlia quinquecarinata,12020,
(PETERS 1869),,E: Blue-throated Rainbow-skink,"Scincidae, Eugongylinae, Scincoidea, Sauria, Squamata (lizards)",Carlia rhomboidalis,12021,
(DE VIS 1885),,"E: Black-throated Rainbow-skink, Hooded Rainbow Skink","Scincidae, Eugongylinae, Scincoidea, Sauria, Squamata (lizards)",Carlia rostralis,12023,
HOSKIN & COUPER 2012,,E: Orange-flanked Rainbow Skink,"Scincidae, Eugongylinae, Scincoidea, Sauria, Squamata (lizards)",Carlia rubigo,12024,
INGRAM & COVACEVICH 1989,,"E: Red-throated Rainbow-skink, Northern Red-throated Skink","Scincidae, Eugongylinae, Scincoidea, Sauria, Squamata (lizards)",Carlia rubrigularis,12025,
STORR 1974,,E: Red-sided Rainbow-skink,"Scincidae, Eugongylinae, Scincoidea, Sauria, Squamata (lizards)",Carlia rufilatus,12026,
(PETERS 1867),,E: Robust Rainbow-skink,"Scincidae, Eugongylinae, Scincoidea, Sauria, Squamata (lizards)",Carlia schmeltzii,12027,
(MACLEAY 1877),,E: Closed-litter Rainbow-skink,"Scincidae, Eugongylinae, Scincoidea, Sauria, Squamata (lizards)",Carlia sexdentata,12028,
(SMITH 1927),,,"Scincidae, Eugongylinae, Scincoidea, Sauria, Squamata (lizards)",Carlia spinauris,12029,
INGRAM & COVACEVICH 1989,,E: Brown Bicarinate Rainbow-skink,"Scincidae, Eugongylinae, Scincoidea, Sauria, Squamata (lizards)",Carlia storri,12030,
ZUG & KAISER 2014,,E: Sukur Four-toed Skink,"Scincidae, Eugongylinae, Scincoidea, Sauria, Squamata (lizards)",Carlia sukur,12031,
(O'SHAUGHNESSY 1879),,E: Southern Rainbow-skink,"Scincidae, Eugongylinae, Scincoidea, Sauria, Squamata (lizards)",Carlia tetradactyla,12032,
(MITCHELL 1953),,E: Desert Rainbow-skink,"Scincidae, Eugongylinae, Scincoidea, Sauria, Squamata (lizards)",Carlia triacantha,12033,
ZUG 2004,,,"Scincidae, Eugongylinae, Scincoidea, Sauria, Squamata (lizards)",Carlia tutela,12034,
(DE VIS 1884),,E: Tussock Rainbow-skink,"Scincidae, Eugongylinae, Scincoidea, Sauria, Squamata (lizards)",Carlia vivax,12035,
HOSKIN 2014,,E: Cape Melville Rainbow Skink,"Scincidae, Eugongylinae, Scincoidea, Sauria, Squamata (lizards)",Carlia wundalthini,12036,
GÜNTHER 1897,,E: Chameleon Gecko,"Carphodactylidae, Gekkota, Sauria, Squamata (lizards: geckos)",Carphodactylus laevis,12037,
(SAY 1825),,"E: amoenus: Eastern Worm Snake
helenae: Midwestern Wormsnake
G: Wurmschlange","Colubridae (Dipsadinae), Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",Carphophis amoenus,12038,"Carphophis amoenus amoenus (SAY 1825)
Carphophis amoenus helenae (KENNICOTT 1859)"
(KENNICOTT 1859),,E: Western Worm Snake,"Colubridae (Dipsadinae), Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",Carphophis vermis,12039,
(SCHLEGEL 1837),,"E: Round Island Ground Boas
G: Round-Island-Boa","Bolyeriidae, Henophidia, Alethinophidia, Serpentes, Squamata (snakes)",Casarea dussumieri,12040,
DUMÉRIL & BIBRON 1844,,,"Gerrhopilidae, Typhlopoidea, Serpentes, Squamata (snakes)",Cathetorhinus melanocephalus,12041,
BOULENGER 1905,,"E: Two-Striped Night Adder, Two-lined Night Adder","Viperidae, Viperinae, Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",Causus bilineatus,12042,
(JAN 1863),,E: Snouted Night Adder,"Viperidae, Viperinae, Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",Causus defilippii,12043,
(JAN 1859),,E: Forest night adder,"Viperidae, Viperinae, Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",Causus lichtensteinii,12044,
(HALLOWELL 1842),,"E: Spotted Night Adder, West-African Night Adder","Viperidae, Viperinae, Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",Causus maculatus,12045,
BROADLEY 2014,,E: Rasmussen’s Night Adder,"Viperidae, Viperinae, Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",Causus rasmusseni,12046,
(PETERS 1862),,"E: Green Night Adder
G: Grüne Nachtotter","Viperidae, Viperinae, Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",Causus resimus,12047,
(LICHTENSTEIN 1823),,"E: Common or Rhombic Night Adder
G: Krötenotter","Viperidae, Viperinae, Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",Causus rhombeatus,12048,
(WERNER 1910),,,"Scincidae, Eugongylinae, Scincoidea, Sauria, Squamata (lizards)",Celatiscincus euryotis,12049,
"SADLIER, SMITH & BAUER 2006",,,"Scincidae, Eugongylinae, Scincoidea, Sauria, Squamata (lizards)",Celatiscincus similis,12050,
"SAVAGE, LIPS & IBÁÑEZ 2008",,,"Diploglossidae, Diploglossa, Anguimorpha, Sauria, Squamata (lizards)",Celestus adercus,12051,
(THOMAS 1971),,E: SERPENTINE FOUR-TOED GALLIWASP,"Diploglossidae, Diploglossa, Anguimorpha, Sauria, Squamata (lizards)",Celestus agasepsoides,12052,
"(SCHWARTZ, GRAHAM, & DUVAL 1979)",,E: ALTAGRACIA GIANT GALLIWASP,"Diploglossidae, Diploglossa, Anguimorpha, Sauria, Squamata (lizards)",Celestus anelpistus,12053,
COPE 1868,,E: Navassa Galliwasp,"Diploglossidae, Diploglossa, Anguimorpha, Sauria, Squamata (lizards)",Celestus badius,12054,
GRANT 1940,,E: LIMESTONE FOREST GALLIWASP,"Diploglossidae, Diploglossa, Anguimorpha, Sauria, Squamata (lizards)",Celestus barbouri,12055,
(COPE 1862),,"E: Hispaniolan Smooth Galliwasp, Common Hispaniolan Galliwasp","Diploglossidae, Diploglossa, Anguimorpha, Sauria, Squamata (lizards)",Celestus costatus,12058,"Celestus costatus costatus (COPE 1862)
Celestus costatus aenetergum SCHWARTZ & JACOBS 1989
Celestus costatus emys SCHWARTZ 1971
Celestus costatus saonae SCHWARTZ 1964
Celestus costatus chalcorhabdus SCHWARTZ 1964
Celestus costatus leionotus SCHWARTZ 1964
Celestus costatus nesobous SCHWARTZ 1964
Celestus costatus oreistes SCHWARTZ 1964
Celestus costatus neiba SCHWARTZ 1964
Celestus costatus psychonothes SCHWARTZ 1964
Celestus costatus melanchrous SCHWARTZ 1964"
(GARMAN 1887),,"E: Jamaican Galliwasp, Garman's Galliwasp","Diploglossidae, Diploglossa, Anguimorpha, Sauria, Squamata (lizards)",Celestus crusculus,12059,"Celestus crusculus crusculus (GARMAN 1887)
Celestus crusculus cundalli GRANT 1940
Celestus crusculus maculatus GARMAN 1888
Celestus crusculus molesworthi GRANT 1940"
GRANT 1951,,"E: Hispaniolan Khaki Galliwasp, Curtis' Galliwasp","Diploglossidae, Diploglossa, Anguimorpha, Sauria, Squamata (lizards)",Celestus curtissi,12060,"Celestus curtissi curtissi GRANT 1951
Celestus curtissi aporus SCHWARTZ 1964
Celestus curtissi diastatus SCHWARTZ 1964
Celestus curtissi hylonomus SCHWARTZ 1964"
COPE 1894,,,"Diploglossidae, Diploglossa, Anguimorpha, Sauria, Squamata (lizards)",Celestus cyanochloris,12061,
COCHRAN 1939,,"E: Hispaniolan Striped Galliwasp, Darlington's Galliwasp","Diploglossidae, Diploglossa, Anguimorpha, Sauria, Squamata (lizards)",Celestus darlingtoni,12062,
GRANT 1940,,"E: Blue-tailed Galliwasp, Duquesney's Galliwasp","Diploglossidae, Diploglossa, Anguimorpha, Sauria, Squamata (lizards)",Celestus duquesneyi,12063,
(COPE 1861),,"E: Huaxteca Lesser Galliwasp
S: Celesto Huasteco","Diploglossidae, Diploglossa, Anguimorpha, Sauria, Squamata (lizards)",Celestus enneagrammus,12064,
(SCHWARTZ 1971),,"E: Bromeliad Galliwasp, Fowler's Galliwasp","Diploglossidae, Diploglossa, Anguimorpha, Sauria, Squamata (lizards)",Celestus fowleri,12065,
(COCHRAN 1927),,"E: Hispaniolan Earless Galliwasp, EARLESS Galliwasp","Diploglossidae, Diploglossa, Anguimorpha, Sauria, Squamata (lizards)",Celestus haetianus,12066,"Celestus haetianus haetianus (COCHRAN 1927)
Celestus haetianus mylicus (SCHWARTZ 1965)
Celestus haetianus surdus (SCHWARTZ 1965)"
GRAY 1845,,E: Heward's Galliwasp,"Diploglossidae, Diploglossa, Anguimorpha, Sauria, Squamata (lizards)",Celestus hewardi,12067,
SAVAGE & LIPS 1993,,,"Diploglossidae, Diploglossa, Anguimorpha, Sauria, Squamata (lizards)",Celestus hylaius,12068,
WERLER & CAMPBELL 2004,,E: Ingrid’s Galliwasp,"Diploglossidae, Diploglossa, Anguimorpha, Sauria, Squamata (lizards)",Celestus ingridae,13402,
"LOTZKAT, HERTZ & KÖHLER 2016",,,"Diploglossidae, Diploglossa, Anguimorpha, Sauria, Squamata (lizards)",Celestus laf,20881,
CAMPBELL & CAMARILLO 1994,,"E: Campbell's Galliwasp
S: Celesto de Puebla","Diploglossidae, Diploglossa, Anguimorpha, Sauria, Squamata (lizards)",Celestus legnotus,13403,
THOMAS & HEDGES 1989,,"E: La Selle Galliwasp, Thomas'  Galliwasp","Diploglossidae, Diploglossa, Anguimorpha, Sauria, Squamata (lizards)",Celestus macrotus,12069,
(SCHWARTZ & INCHAUSTEGUI 1976),,"E: Pico Duarte Galliwasp, Marcano's Galliwasp","Diploglossidae, Diploglossa, Anguimorpha, Sauria, Squamata (lizards)",Celestus marcanoi,12070,
(UNDERWOOD 1959),,"E: Small-eyed Galliwasp, Tiny Eyelid Galliwasp","Diploglossidae, Diploglossa, Anguimorpha, Sauria, Squamata (lizards)",Celestus microblepharis,12071,
(SHAW 1802),,"E: Jamaican Giant Galliwasp, Sinking Galliwasp","Diploglossidae, Diploglossa, Anguimorpha, Sauria, Squamata (lizards)",Celestus occiduus,12073,
SAVAGE & LIPS 1993,,,"Diploglossidae, Diploglossa, Anguimorpha, Sauria, Squamata (lizards)",Celestus orobius,12074,
(SMITH 1942),,"E: Rozella's Lesser Galliwasp
S: Celesto Vientre Verde","Diploglossidae, Diploglossa, Anguimorpha, Sauria, Squamata (lizards)",Celestus rozellae,12075,
(GRAY 1852),,"E: Hispaniolan Four-toed Galliwasp, Common four-toed Galliwasp","Diploglossidae, Diploglossa, Anguimorpha, Sauria, Squamata (lizards)",Celestus sepsoides,12077,
(COPE 1862),,"E: Hispaniolan Keeled Galliwasp, Cope's Galliwasp","Diploglossidae, Diploglossa, Anguimorpha, Sauria, Squamata (lizards)",Celestus stenurus,12078,"Celestus stenurus stenurus (COPE 1862)
Celestus stenurus alloeides SCHWARTZ 1964
Celestus stenurus rugosus COPE 1879
Celestus stenurus weinlandi COPE 1868"
(SCHWARTZ 1970),,"E: Hispaniolan Giant Galliwasp, Haitian giant Galliwasp","Diploglossidae, Diploglossa, Anguimorpha, Sauria, Squamata (lizards)",Celestus warreni,12079,
(BLUMENBACH 1788),,"E: Scarlet Snake
coccinea: Florida Scarlet Snake
copei: Northern Scarlet Snake
lineri: Texas Scarlet Snake
G: Scharlachnatter","Colubridae, Colubrinae, Lampropeltini, Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",Cemophora coccinea,12080,"Cemophora coccinea coccinea (BLUMENBACH 1788)
Cemophora coccinea copei JAN 1863"
"(WILLIAMS, BROWN & WILSON 1966)",,"E: Texas Scarlet Snake
G: Texas-Scharlachnatter","Colubridae, Colubrinae, Lampropeltini, Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",Cemophora lineri,21178,
"CAMPBELL, SMITH & HALL 2018",,,"Colubridae (Dipsadinae), Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",Cenaspis aenigma,21810,
(MILLER 1779),,"E: Sahel Tortoise, African Spurred Tortoise
G: Spornschildkröte","Testudinidae, Testudinoidea, Testudines (turtles)",Centrochelys sulcata,12081,
(UZZELL 1966),,E: Uzzell's Neusticurus,"Gymnophthalmidae (Cercosaurinae), Sauria, Gymnophthalmoidea, Squamata (lizards)",Centrosaura apodema,17691,
WAGNER & WILMS 2010,,,"Viperidae, Viperinae, Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",Cerastes boehmei,12082,
LINNAEUS 1758,,"E: Desert Horned Viper
G: Hornviper","Viperidae, Viperinae, Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",Cerastes cerastes,12083,"Cerastes cerastes cerastes (LINNAEUS 1758)
Cerastes cerastes hoofieni WERNER & SIVAN in WERNER et al. 1999"
LEVITON & ANDERSON 1967,,,"Viperidae, Viperinae, Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",Cerastes gasperettii,12084,"Cerastes gasperettii mendelssohni WERNER & SIVAN in WERNER et al. 1999
Cerastes gasperettii gasperettii LEVITON & ANDERSON 1967"
(LINNAEUS 1758),,"E: Sahara Sand Viper
G: Avicennaviper","Viperidae, Viperinae, Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",Cerastes vipera,12085,
GÜNTHER 1864,,"E: SriLankaHorned Agama
G: Hornagame, Spitznase","Agamidae (Draconinae), Sauria, Iguania, Squamata (lizards)",Ceratophora aspera,12086,
PETHIYAGODA & MANAMENDRA-ARACHCHI 1998,,,"Agamidae (Draconinae), Sauria, Iguania, Squamata (lizards)",Ceratophora erdeleni,12087,
PETHIYAGODA & MANAMENDRA-ARACHCHI 1998,,,"Agamidae (Draconinae), Sauria, Iguania, Squamata (lizards)",Ceratophora karu,12088,
GRAY 1834,,"E: Mountain Horned Agama, Rhino-horned lizard
G: Stachelnase, Hornagame","Agamidae (Draconinae), Sauria, Iguania, Squamata (lizards)",Ceratophora stoddartii,12089,
GÜNTHER 1861,,E: Rhinoceros Agama,"Agamidae (Draconinae), Sauria, Iguania, Squamata (lizards)",Ceratophora tennentii,12090,
"KARUNARATHNA, POYARKOV, AMARASINGHE, SURASINGHE, BUSHUEV, MADAWALA, GORIN & DE SILVA 2020",new species,"E: Ukuwelas’ Rough-horn Lizard
Sinhala: Ukuwelage ralu-ang katussa","Agamidae (Draconinae), Sauria, Iguania, Squamata (lizards)",Ceratophora ukuwelai,23213,
(GRAY 1842),,E: Australian Bockadam,"Homalopsidae, Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",Cerberus australis,12091,
"MURPHY, VORIS & KARNS 2012",,,"Homalopsidae, Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",Cerberus dunsoni,12092,
BOULENGER 1896,,"E: Lake Buhi Bockadam, Dog-faced Water Snake","Homalopsidae, Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",Cerberus microlepis,12093,
(SCHNEIDER 1799),,"E: South Asian Bockadam, New Guinea bockadam, Dog-faced Water Snake
G: Hundskopf-Wassertrugnatter","Homalopsidae, Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",Cerberus rynchops,12094,
(SCHLEGEL 1837),,E: Southeast Asian Bockadam,"Homalopsidae, Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",Cerberus schneiderii,12095,
(SCHLEGEL 1837),,E: Schlegel's Golden Snake,"Colubridae (Dipsadinae), Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",Cercophis auratus,12096,
MÜLLER 1923,new genus (was: Pholidobolus),E: Anomalous Cercosaura,"Gymnophthalmidae (Cercosaurinae), Sauria, Gymnophthalmoidea, Squamata (lizards)",Cercosaura anomala,17330,
"STURARO, RODRIGUES, COLLI, KNOWLES & AVILA-PIRES 2018",,,"Gymnophthalmidae (Cercosaurinae), Sauria, Gymnophthalmoidea, Squamata (lizards)",Cercosaura anordosquama,21347,
PETERS 1862,,E: White-lipped Cercosaura,"Gymnophthalmidae (Cercosaurinae), Sauria, Gymnophthalmoidea, Squamata (lizards)",Cercosaura argulus,12097,
RUIBAL 1952,,E: Ocellated Tegu,"Gymnophthalmidae (Cercosaurinae), Sauria, Gymnophthalmoidea, Squamata (lizards)",Cercosaura bassleri,20300,
"ECHEVARRÍA, BARBOZA & VENEGAS 2015",,,"Gymnophthalmidae (Cercosaurinae), Sauria, Gymnophthalmoidea, Squamata (lizards)",Cercosaura doanae,20333,
(GRIFFIN 1917),,E: Eigenmann's Cercosaura,"Gymnophthalmidae (Cercosaurinae), Sauria, Gymnophthalmoidea, Squamata (lizards)",Cercosaura eigenmanni,12099,
DOAN & LAMAR 2012,,,"Gymnophthalmidae (Cercosaurinae), Sauria, Gymnophthalmoidea, Squamata (lizards)",Cercosaura hypnoides,12100,
O’SHAUGHNESSY 1881,,E: Slender Cercosaura,"Gymnophthalmidae (Cercosaurinae), Sauria, Gymnophthalmoidea, Squamata (lizards)",Cercosaura manicata,12101,"Cercosaura manicata manicata O’SHAUGHNESSY 1881
Cercosaura manicata bolivianus (WERNER 1899)"
(GORZULA & SENARIS 1999),,,"Gymnophthalmidae (Cercosaurinae), Sauria, Gymnophthalmoidea, Squamata (lizards)",Cercosaura nigroventris,12102,
WAGLER 1830,,E: Ocellated Tegu,"Gymnophthalmidae (Cercosaurinae), Sauria, Gymnophthalmoidea, Squamata (lizards)",Cercosaura ocellata,12103,
GRAY 1845,,E: Olive Tegu,"Gymnophthalmidae (Cercosaurinae), Sauria, Gymnophthalmoidea, Squamata (lizards)",Cercosaura olivacea,21348,
(BOULENGER 1885),,E: White-Striped Eyed Lizard,"Gymnophthalmidae (Cercosaurinae), Sauria, Gymnophthalmoidea, Squamata (lizards)",Cercosaura oshaughnessyi,20965,
"MAMANI, CHAPARRO, CORREA, ALARCÓN, SALAS & CATENAZZI 2020",new species,,"Gymnophthalmidae (Cercosaurinae), Sauria, Gymnophthalmoidea, Squamata (lizards)",Cercosaura pacha,23232,
(RUIBAL 1952),,E: Parker's Many-fingered Teiid,"Gymnophthalmidae (Cercosaurinae), Sauria, Gymnophthalmoidea, Squamata (lizards)",Cercosaura parkeri,12104,
(LANCINI 1968),,,"Gymnophthalmidae (Cercosaurinae), Sauria, Gymnophthalmoidea, Squamata (lizards)",Cercosaura phelpsorum,12105,
BOETTGER 1876,,E: Lined Many-fingered Teiid,"Gymnophthalmidae (Cercosaurinae), Sauria, Gymnophthalmoidea, Squamata (lizards)",Cercosaura quadrilineata,12106,
WIEGMANN 1834,,"E: Long-tailed little lizard, Schreibers' Many-fingered Teiid","Gymnophthalmidae (Cercosaurinae), Sauria, Gymnophthalmoidea, Squamata (lizards)",Cercosaura schreibersii,12107,"Cercosaura schreibersii schreibersii WIEGMANN 1834
Cercosaura schreibersii albostrigatus (GRIFFIN 1917)"
(TEDESCO 1998),,,"Gymnophthalmidae (Cercosaurinae), Sauria, Gymnophthalmoidea, Squamata (lizards)",Cercosaura steyeri,12108,
(GÜNTHER 1863),,"E: Godman's Montane Pit Viper
G: Godman-Berggrubenotter
S: Nauyaca del Frio","Viperidae, Crotalinae, Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",Cerrophidion godmani,12110,
"LOPÉZ-LUNA, VOGT & TORRE-LORANCA 1999",,"E: Cerro Petlalcala Montane Pitviper
S: Petates de Cerro Petlalcala","Viperidae, Crotalinae, Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",Cerrophidion petlalcalensis,12111,
"JADIN, TOWNSEND, CASTOE & CAMPBELL 2012",,E: Costa Rica Montane Pitviper,"Viperidae, Crotalinae, Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",Cerrophidion sasai,12112,
(CAMPBELL 1985),,"E: Tzotzil Montane Pit Viper
S: Nauyaca Tzotzil","Viperidae, Crotalinae, Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",Cerrophidion tzotzilorum,12113,
"JADIN, TOWNSEND, CASTOE & CAMPBELL 2012",,E: Honduras Montane Pitviper,"Viperidae, Crotalinae, Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",Cerrophidion wilsoni,12114,
(PETERS 1854),,"E: Madagascar iguana
G: Madagaskar-Sandleguan","Opluridae, Iguania, Sauria, Squamata (lizards)",Chalarodon madagascariensis,12116,
"MIRALLES, GLAW, RATSOAVINA & VENCES 2015",,"E: Steinkamp’s Madagascar iguana
G: Steinkamps Madagaskar-Sandleguan","Opluridae, Iguania, Sauria, Squamata (lizards)",Chalarodon steinkampi,20199,
BOULENGER 1922,,E: Armitage's Cylindrical Skink,"Scincidae, Scincinae, Scincoidea, Sauria, Squamata (lizards)",Chalcides armitagei,12117,
(BOSCA 1880),,"E: Spanish Cylindrical Skink
G: Iberischer Walzenskink
D: Spaanse Skink","Scincidae, Scincinae, Scincoidea, Sauria, Squamata (lizards)",Chalcides bedriagai,12118,"Chalcides bedriagai bedriagai (BOSCA 1880)
Chalcides bedriagai cobosi VALVERDE 1997
Chalcides bedriagai pistaciae VALVERDE 1966"
BOULENGER 1898,,E: Ocellated skink,"Scincidae, Scincinae, Scincoidea, Sauria, Squamata (lizards)",Chalcides bottegi,12119,
ANDERSON 1892,,E: Boulenger's Feylinia,"Scincidae, Scincinae, Scincoidea, Sauria, Squamata (lizards)",Chalcides boulengeri,12120,
(LINNAEUS 1758),,"E: Cylindrical Skink, Italian Three-toed Skink
G: Italienische Erzschleiche","Scincidae, Scincinae, Scincoidea, Sauria, Squamata (lizards)",Chalcides chalcides,12121,"Chalcides chalcides chalcides (LINNAEUS 1758)
Chalcides chalcides vittatus (LEUCKART 1828)"
SALVADOR 1975,,,"Scincidae, Scincinae, Scincoidea, Sauria, Squamata (lizards)",Chalcides coeruleopunctatus,12122,
LANZA 1957,,"E: Colosi's Cylindrical Skink
G: Colosis Walzenskink","Scincidae, Scincinae, Scincoidea, Sauria, Squamata (lizards)",Chalcides colosii,12123,
(LATASTE & ROCHEBRUNE 1876),,E: Delisle's Wedge-snouted Skink,"Scincidae, Scincinae, Scincoidea, Sauria, Squamata (lizards)",Chalcides delislei,12124,
WERNER 1931,,E: Ebner's Cylindrical Skink,"Scincidae, Scincinae, Scincoidea, Sauria, Squamata (lizards)",Chalcides ebneri,12125,
BOULENGER 1887,,E: Günther's Cylindrical Skink,"Scincidae, Scincinae, Scincoidea, Sauria, Squamata (lizards)",Chalcides guentheri,12126,
